строка автора;книг;ключ;запятая;алфавит
Ann Patchett;1;ann patchett;;латиница
Joan Didion;1;joan didion;;латиница
Абрахам Вергезе;1;абрахам вергезе;;кириллица
Александр Куприн;1;александр куприн;;кириллица
Александр Пушкин;1;александр пушкин;;кириллица
Алексей Иванов;1;алексей иванов;;кириллица
Алексей Поляринов;1;алексей поляринов;;кириллица
Алина Бронски;1;алина бронски;;кириллица
Алёна Селютина;4;алена селютина;;кириллица
Анастасия Максимова;1;анастасия максимова;;кириллица
Анатолий Мариенгоф;1;анатолий мариенгоф;;кириллица
Анджей Сапковский;1;анджей сапковский;;кириллица
Антония Сьюзен Байетт;1;антония сьюзен байетт;;кириллица
Арина Цимеринг;1;арина цимеринг;;кириллица
Аркадий и Борис Стругацкие;1;аркадий и борис стругацкие;;кириллица
Арнхильд Лаувенг;1;арнхильд лаувенг;;кириллица
Артур Хейли;1;артур хейли;;кириллица
Арчибальд Кронин;2;арчибальд кронин;;кириллица
Ася Володина;1;ася володина;;кириллица
Ася Демишкевич;1;ася демишкевич;;кириллица
Бенджамин Алире Саэнс;1;бенджамин алире саэнс;;кириллица
Валери Перрен;2;валери перрен;;кириллица
Венедикт Ерофеев;1;венедикт ерофеев;;кириллица
Вера Богданова;2;вера богданова;;кириллица
Виктор Дашкевич;5;виктор дашкевич;;кириллица
Виржини Гримальди;1;виржини гримальди;;кириллица
Габриэль Гарсиа Маркес;1;габриэль гарсиа маркес;;кириллица
Гейл Ханимен;1;гейл ханимен;;кириллица
Гиллиан Флинн;1;гиллиан флинн;;кириллица
Грэм Симсион;3;грэм симсион;;кириллица
Гузель Яхина;1;гузель яхина;;кириллица
Даня Кукафка;1;даня кукафка;;кириллица
Дарья Бобылёва;1;дарья бобылева;;кириллица
Делия Оуэнс;1;делия оуэнс;;кириллица
Дж. М. Кутзее;2;дж м кутзее;;кириллица
Джанет Фитч;1;джанет фитч;;кириллица
Джейн Остин;2;джейн остин;;кириллица
Джейн Шемилт;1;джейн шемилт;;кириллица
Джеральд Бром;1;джеральд бром;;кириллица
Джо Аберкромби;1;джо аберкромби;;кириллица
Джоди Пиколт;1;джоди пиколт;;кириллица
Джон Фаулз;3;джон фаулз;;кириллица
Джонатан Сафран Фоер;2;джонатан сафран фоер;;кириллица
Джонатан Франзен;1;джонатан франзен;;кириллица
Джордж Мартин;1;джордж мартин;;кириллица
Диана Сеттерфилд;2;диана сеттерфилд;;кириллица
Дина Рубина;1;дина рубина;;кириллица
Донато Карризи;7;донато карризи;;кириллица
Донна Тартт;1;донна тартт;;кириллица
Дэвид Николс;1;дэвид николс;;кириллица
Дэвид Стивен Митчелл;1;дэвид стивен митчелл;;кириллица
Дэвид Эллис;1;дэвид эллис;;кириллица
Дэниел Киз;2;дэниел киз;;кириллица
Екатерина Казакова, Алена Харитонова;3;екатерина казакова, алена харитонова;соавторы;кириллица
Елена Михалкова;1;елена михалкова;;кириллица
Жан-Мишель Генассия;1;жан-мишель генассия;;кириллица
Жауме Кабре;1;жауме кабре;;кириллица
Жоэль Диккер;1;жоэль диккер;;кириллица
Иван Гончаров;1;иван гончаров;;кириллица
Иван Ефремов;1;иван ефремов;;кириллица
Иоанна Хмелевская;1;иоанна хмелевская;;кириллица
Ирвин Уэлш;1;ирвин уэлш;;кириллица
Исай Калашников;1;исай калашников;;кириллица
Ислам Ханипаев;1;ислам ханипаев;;кириллица
Кадзуо Исигуро;2;кадзуо исигуро;;кириллица
Карлос Руис Сафон;2;карлос руис сафон;;кириллица
Катя Качур;3;катя качур;;кириллица
Кнут Гамсун;1;кнут гамсун;;кириллица
Колин Маккалоу;2;колин маккалоу;;кириллица
Константин Образцов;1;константин образцов;;кириллица
Кормак Маккарти;1;кормак маккарти;;кириллица
Курбан Саид;1;курбан саид;;кириллица
Кэти Хэйс;1;кэти хэйс;;кириллица
Кэтрин Чиджи;1;кэтрин чиджи;;кириллица
Лео Перуц;1;лео перуц;;кириллица
Ли Бардуго;2;ли бардуго;;кириллица
Лиз Ньюджент;1;лиз ньюджент;;кириллица
Линор Горалик;1;линор горалик;;кириллица
Мадлен Миллер;1;мадлен миллер;;кириллица
Майкл Каннингем;1;майкл каннингем;;кириллица
Маргарет Этвуд;1;маргарет этвуд;;кириллица
Мари-Рене Лавуа;1;мари-рене лавуа;;кириллица
Марина Степнова;1;марина степнова;;кириллица
Марина и Сергей Дяченко;1;марина и сергей дяченко;;кириллица
Мариша Пессл;1;мариша пессл;;кириллица
Мария Парр;1;мария парр;;кириллица
Марк Хэддон;1;марк хэддон;;кириллица
Маркус Зусак;1;маркус зусак;;кириллица
Мег Мэйсон;1;мег мэйсон;;кириллица
Михаил Булгаков;2;михаил булгаков;;кириллица
Михаил Лермонтов;1;михаил лермонтов;;кириллица
Мишель Грирсон;1;мишель грирсон;;кириллица
Мэтт Хейг;1;мэтт хейг;;кириллица
Мюриель Барбери;1;мюриель барбери;;кириллица
Наринэ Абгарян;1;наринэ абгарян;;кириллица
Нейтан Хилл;1;нейтан хилл;;кириллица
Николай Гоголь;2;николай гоголь;;кириллица
Нэнси Такер;1;нэнси такер;;кириллица
Ольга Токарчук;1;ольга токарчук;;кириллица
Оноре де Бальзак;1;оноре де бальзак;;кириллица
Оскар Уайльд;1;оскар уайльд;;кириллица
Патрик Ротфусс;3;патрик ротфусс;;кириллица
Ребекка Маккаи;2;ребекка маккаи;;кириллица
Ребекка Уэйт;1;ребекка уэйт;;кириллица
Ребекка Яррос;1;ребекка яррос;;кириллица
Рейчел Джойс;1;рейчел джойс;;кириллица
Рейчел Кейн;2;рейчел кейн;;кириллица
Рик Риордан;1;рик риордан;;кириллица
Роберт Гэлбрейт;1;роберт гэлбрейт;;кириллица
Роберт Колкер;1;роберт колкер;;кириллица
Роман Суржиков;2;роман суржиков;;кириллица
Сара Джио;1;сара джио;;кириллица
Сара Мосс;1;сара мосс;;кириллица
Светлана Тюльбашева;1;светлана тюльбашева;;кириллица
Сильвия Плат;1;сильвия плат;;кириллица
Сомерсет Моэм;2;сомерсет моэм;;кириллица
Сон Вон Пхён;1;сон вон пхен;;кириллица
Сорен Свейструп;1;сорен свейструп;;кириллица
Стефан Цвейг;2;стефан цвейг;;кириллица
Стивен Кинг;1;стивен кинг;;кириллица
Стивен Фрай;1;стивен фрай;;кириллица
Тайари Джонс;1;тайари джонс;;кириллица
Тана Френч;6;тана френч;;кириллица
Татьяна Грачева;4;татьяна грачева;;кириллица
Томас Манн;1;томас манн;;кириллица
Тоон Теллеген;1;тоон теллеген;;кириллица
Уилки Коллинз;1;уилки коллинз;;кириллица
Франк Тилье;1;франк тилье;;кириллица
Фредрик Бакман;1;фредрик бакман;;кириллица
Фёдор Достоевский;1;федор достоевский;;кириллица
Халед Хоссейни;2;халед хоссейни;;кириллица
Ханья Янагихара;1;ханья янагихара;;кириллица
Харуки Мураками;1;харуки мураками;;кириллица
Хизер Гуденкауф;1;хизер гуденкауф;;кириллица
Чак Паланик;2;чак паланик;;кириллица
Чарльз Мартин;1;чарльз мартин;;кириллица
Чимаманда Нгози Адичи;1;чимаманда нгози адичи;;кириллица
Чингиз Айтматов;1;чингиз айтматов;;кириллица
Шамиль Идиатуллин;2;шамиль идиатуллин;;кириллица
Эдит Патту;1;эдит патту;;кириллица
Элена Ферранте;4;элена ферранте;;кириллица
Элизабет Страут;2;элизабет страут;;кириллица
Эмили Бронте;1;эмили бронте;;кириллица
Эмилия Галаган;1;эмилия галаган;;кириллица
Эмилия Харт;1;эмилия харт;;кириллица
Эмма Скотт;1;эмма скотт;;кириллица
Эрик-Эмманюэль Шмитт;2;эрик-эмманюэль шмитт;;кириллица
Эрих Мария Ремарк;3;эрих мария ремарк;;кириллица
Юрий Каракур;1;юрий каракур;;кириллица
Яна Лехчина;1;яна лехчина;;кириллица
