Название,Автор,Дата прочтения,Моя оценка,ISBN
Дом без воспоминаний,Донато Карризи,Июль 2026 г.,5,978-5-389-23795-7
Плоды земли,Кнут Гамсун,Июль 2026 г.,4,978-5-04-203595-1
Девятнадцать минут,Джоди Пиколт,Июль 2026 г.,5,978-5-389-18332-2
Царствие мне небесное,Вера Богданова,Июль 2026 г.,6,978-5-00223-888-0
Фигуры света,Сара Мосс,Июль 2026 г.,6,978-5-86471-894-0
Проект «Рози»,Грэм Симсион,Июнь 2026 г.,5,978-5-906837-57-8
Птенчик,Катрин Чиджи,Июнь 2026 г.,3,978-5-86471-997-8
Фейтфул-Плейс,Тана Френч,Июнь 2026 г.,7,978-5-86471-897-1
Холодные глаза,Ислам Ханипаев,Июнь 2026 г.,2,978-5-00223-000-6
Разрыв-трава,Исай Калашников,Июнь 2026 г.,5,978-5-389-25663-7
Я исповедуюсь,Жауме Кабре,Июнь 2026 г.,10,978-5-389-14253-4
А леса у нас тихие,Алёна Селютина,Июнь 2026 г.,5,978-5-00250-868-6
"Сочувствую, что вы так чувствуете",Ребекка Уэйт,Июнь 2026 г.,8,978-5-86471-975-6
Убыр: дилогия (сборник),Шамиль Идиатуллин,Июнь 2026 г.,2,978-5-389-14699-0
Сходство,Тана Френч,Июнь 2026 г.,7,978-5-86471-872-8
Каштановый человечек,Сорен Свейструп,Июнь 2026 г.,6,978-5-04-190945-1
Таис Афинская,Иван Ефремов,Июнь 2026 г.,4,978-5-389-05884-2
Клуб неисправимых оптимистов,Жан-Мишель Генассия,Май 2026 г.,10,978-5-389-21010-3
Кисло-сладкое,Татьяна Грачева,Май 2026 г.,3,978-5-00155-738-8
Ночной гость,Хизер Гуденкауф,Май 2026 г.,3,978-5-389-27721-2
Аэропорт,Артур Хейли,Май 2026 г.,6,978-5-17-121931-4
Императорский Див. Колдун Российской империи,Виктор Дашкевич,Апрель 2026 г.,5,978-5-04-239572-7
Дом голосов,Донато Карризи,Апрель 2026 г.,5,978-5-389-20567-3
Капля духов в открытую рану,Катя Качур,Март 2026 г.,6,978-5-04-231205-2
Записки перед казнью,Даня Кукафка,Март 2026 г.,6,978-5-9614-9740-3
Колодцы предков,Иоанна Хмелевская,Март 2026 г.,2,978-5-907500-18-1
Головокружение,Франк Тилье,Март 2026 г.,3,978-5-389-11235-3
Косиног. История о колдовстве,Джеральд Бром,Март 2026 г.,7,978-5-17-139443-1
Граф Аверин. Колдун Российской империи,Виктор Дашкевич,Февраль 2026 г.,5,978-5-04-228886-9
Затворники,Кэти Хэйс,Февраль 2026 г.,4,978-5-04-184411-0
Полночная библиотека,Мэтт Хейг,Январь 2026 г.,5,978-5-907428-65-2
Поменяй воду цветам,Валери Перрен,Январь 2026 г.,4,978-5-04-186886-4
Ген Рафаила,Катя Качур,Январь 2026 г.,6,978-5-04-197171-7
Сандалики,Татьяна Грачева,Январь 2026 г.,4,
Перекрёсток воронов,Анджей Сапковский,Январь 2026 г.,7,978-5-17-173986-7
У меня к вам несколько вопросов,Ребекка Маккаи,Декабрь 2025 г.,5,978-5-907784-18-5
Становясь Лейдой,Мишель Грирсон,Декабрь 2025 г.,5,978-5-04-160022-8
Петербургские повести (сборник),Николай Гоголь,Декабрь 2025 г.,4,978-5-00250-318-6
Кошмары Аиста Марабу,Ирвин Уэлш,Декабрь 2025 г.,6,978-5-389-21498-9
Письмо незнакомки (сборник),Стефан Цвейг,Декабрь 2025 г.,6,978-5-389-12110-2
Долина Совести,Марина и Сергей Дяченко,Декабрь 2025 г.,8,978-5-04-168725-0
"Раз мальчишка, два мальчишка",Ася Демишкевич,Декабрь 2025 г.,3,978-5-00223-240-6
Тёмные тайны,Гиллиан Флинн,Декабрь 2025 г.,5,978-5-389-13713-4
Валерий,Линор Горалик,Декабрь 2025 г.,5,978-5-86793-864-2
Как выздоравливал сверчок,Тоон Теллеген,Декабрь 2025 г.,4,5-8159-0500-3
Зов Кукушки,Роберт Гэлбрейт,Ноябрь 2025 г.,5,978-5-389-16223-5
Облачный атлас,Дэвид Стивен Митчелл,Ноябрь 2025 г.,4,978-5-389-13033-3
Кафка на пляже,Харуки Мураками,Ноябрь 2025 г.,4,978-5-04-115495-0
Женщины Лазаря,Марина Степнова,Ноябрь 2025 г.,5,978-5-17-090917-9
В лесной чаще,Тана Френч,Октябрь 2025 г.,7,"978-5-17-064213-7,  978-5-403-03043-4"
Некоторые вопросы теории катастроф,Мариша Пессл,Октябрь 2025 г.,5,978-5-389-15799-6
Велнесс,Нейтан Хилл,Октябрь 2025 г.,8,978-5-86471-977-0
Правда о деле Гарри Квеберта,Жоэль Диккер,Сентябрь 2025 г.,4,978-5-17-086262-7
Дневник Рыжего,Татьяна Грачева,Сентябрь 2025 г.,6,978-5-517-10317-8
Цирцея,Мадлен Миллер,Сентябрь 2025 г.,6,978-5-17-111581-4
После бури,Фредрик Бакман,Сентябрь 2025 г.,8,978-5-00-131584-1
Игра Подсказчика,Донато Карризи,Сентябрь 2025 г.,3,978-5-389-19128-0
Миндаль,Сон Вон Пхён,Сентябрь 2025 г.,2,978-5-6045076-7-4
Исповедь скучной тетки,Мари-Рене Лавуа,Сентябрь 2025 г.,3,978-5-0058-0639-0
"Там, где раки поют",Делия Оуэнс,Август 2025 г.,6,978-5-86471-836-0
Географ глобус пропил,Алексей Иванов,Август 2025 г.,6,978-5-17-114500-2
Мастер Страшного суда,Лео Перуц,Август 2025 г.,3,978-5-17-147296-2
Пока течет река,Диана Сеттерфилд,Август 2025 г.,6,978-5-389-18698-9
Мы умели верить,Ребекка Маккаи,Август 2025 г.,6,978-5-907056-95-4
Лихо. Медь и мед,Яна Лехчина,Август 2025 г.,3,978-5-04-178988-6
Брак по-американски,Тайари Джонс,Август 2025 г.,5,978-5-17-119109-2
Странная Салли Даймонд,Лиз Ньюджент,Август 2025 г.,6,978-5-04-191977-1
Женщина французского лейтенанта,Джон Фаулз,Август 2025 г.,4,978-5-04-165446-7
Ходящие в ночи. Книга 3: Пленники раздора,"Екатерина Казакова, Алена Харитонова",Август 2025 г.,5,978-5-517-08336-4
Ежевичная зима,Сара Джио,Август 2025 г.,5,978-5-699-89215-0
Последняя любовь бабы Дуни,Алина Бронски,Август 2025 г.,6,978-5-0058-0790-8
Американха,Чимаманда Нгози Адичи,Август 2025 г.,5,978-5-86471-776-9
"Стрела, монета, искра. Том II",Роман Суржиков,Август 2025 г.,8,978-5-6049233-8-2
Записки на манжетах. Записки юного врача. Морфий (сборник),Михаил Булгаков,Август 2025 г.,8,978-5-17-095618-0
"Стрела, монета, искра. Том I",Роман Суржиков,Август 2025 г.,8,978-5-6049233-7-5
Продажное королевство,Ли Бардуго,Август 2025 г.,5,978-5-17-108910-8
Зулейха открывает глаза,Гузель Яхина,Август 2025 г.,10,978-5-17-146400-4
Теория зла,Донато Карризи,Август 2025 г.,5,978-5-389-17381-1
Эмма,Джейн Остин,Июль 2025 г.,5,978-5-04-173086-4
Вьюрки,Дарья Бобылёва,Июль 2025 г.,5,978-5-17-132708-8
На солнечной стороне улицы,Дина Рубина,Июль 2025 г.,5,9785040902644
О детях Кощеевых,Алёна Селютина,Июль 2025 г.,5,978-5-00214-878-3
Марина,Карлос Руис Сафон,Июль 2025 г.,5,978-5-17-100058-5
Пять минут жизни,Эмма Скотт,Июль 2025 г.,1,978-5-04-122577-3
До февраля,Шамиль Идиатуллин,Июль 2025 г.,6,978-5-17-154054-8
Али и Нино,Курбан Саид,Июль 2025 г.,5,978-5-389-21287-9
Ходящие в ночи. Книга 2. Наследники скорби,"Екатерина Казакова, Алена Харитонова",Июль 2025 г.,5,978-5-517-09319-6
Шестерка воронов,Ли Бардуго,Июль 2025 г.,5,978-5-17-108154-6
Капитанская дочка,Александр Пушкин,Июль 2025 г.,4,978-5-04-108918-4
Подсказчик,Донато Карризи,Июль 2025 г.,6,978-5-389-16489-5
Дорога,Кормак Маккарти,Июль 2025 г.,4,978-5-389-22065-2
Трое,Валери Перрен,Июль 2025 г.,7,978-5-04-160798-2
Протагонист,Ася Володина,Июнь 2025 г.,7,978-5-17-150275-1
